product_name,product_id,category
AM Milk 500,25891101,Dairy
AM Milk 250,25891102,Dairy
AM Milk 100,25891103,Dairy
AM Butter 100,25891201,Dairy
AM Butter 250,25891202,Dairy
AM Butter 500,25891203,Dairy
AM Ghee 250,25891301,Dairy
AM Ghee 150,25891302,Dairy
AM Ghee 100,25891303,Dairy
AM Curd 250,25891401,Dairy
AM Curd 100,25891402,Dairy
AM Curd 50,25891403,Dairy
AM Biscuits 750,25891501,Food
AM Biscuits 500,25891502,Food
AM Biscuits 250,25891503,Food
AM Tea 500,25891601,beverages
AM Tea 250,25891602,beverages
AM Tea 100,25891603,beverages
